name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,age_16,age,age_84,age_error
NGC_7039,4838,0.9715493,0.861105168,1.09615884,0.235053672,15.46786725,7,29.78043249,11.25594547,0.893701576,0.069758689,9.111565498,6.427665355,42.43413457,14.37733853,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,1.236750623,1.09615884,1.39537451,0.29921567,14.55490498,2,6.684141907,4.726402069,0.904144525,0.071303434,5.683135148,4.5643453,13.07591553,6.964176651,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,1.574343272,1.39537451,1.776266315,0.380891805,13.45209963,17,44.63209703,10.82487355,0.919361729,0.084274148,5.682062935,3.895614392,54.22889237,13.17627012,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,2.004087722,1.776266315,2.26112918,0.484862865,11.59519,6,12.37463297,5.051922757,0.892351577,0.078928435,1.766855808,1.927227397,15.63429696,6.104889603,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,2.551138413,2.26112918,2.87834382,0.617214639,10.8298453,0,0,0,0.876951118,0.090295723,0.448746039,0.915684382,0.448746039,19455420.6,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,3.247516129,2.87834382,3.664037958,0.785694138,10.20990612,2,2.545519818,1.799954325,0.842361626,0.139463677,0.403757974,0.768670463,3.425642805,2.325308538,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,4.133982287,3.664037958,4.664201012,1.000163054,9.662344604,0,0,0,0.84911567,0.102236505,0.130413518,0.377307075,0.130413518,19455420.6,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,5.262424841,4.664201012,5.937376013,1.273175001,8.965316619,2,1.570875959,1.110777043,0.891093722,0.091840824,0.127744341,0.33441345,1.890607124,1.303336559,0.432578002,0.048958016,,7.34,,
NGC_1039,4465,0.260755072,0.243746446,0.278950559,0.035204113,20.20728287,23,653.3327421,136.2292939,0.108140206,0.154926552,537.7212525,122.9845251,6579.255361,8747.434251,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.298415728,0.278950559,0.319239176,0.040288617,19.83820836,37,918.3735494,150.9796815,0.295053916,0.172815897,524.9621775,112.8396203,3637.523988,1896.868274,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.341515684,0.319239176,0.365346647,0.046107471,19.45542288,78,1691.699811,191.5472844,0.505334942,0.172399657,530.4997098,114.2889194,3878.179974,1208.765824,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.390840534,0.365346647,0.418113385,0.052766738,18.98641865,103,1951.987256,192.3350194,0.686105683,0.147942213,453.694902,97.88211923,3298.719077,681.5420583,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.447289335,0.418113385,0.478501183,0.060387798,18.46324472,126,2086.514242,185.8814626,0.81582252,0.114090365,373.9165999,76.575743,2931.475617,430.9328559,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.511890993,0.478501183,0.547610744,0.069109561,17.89920636,125,1808.722231,161.7770345,0.862026538,0.09176623,296.1963526,63.22001436,2394.417407,298.5105896,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.585823019,0.547610744,0.626701747,0.079091003,17.12572881,102,1289.653647,127.694739,0.915949778,0.069942995,215.448021,49.51798323,1623.444047,182.8867964,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.670432992,0.626701747,0.717215803,0.090514056,16.23308454,89,983.2726983,104.2266976,0.910224713,0.063960729,161.963795,44.69243501,1242.216489,144.468884,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.767263118,0.717215803,0.820802735,0.103586932,15.29202695,90,868.8354622,91.58329908,0.934977302,0.05914327,122.8919493,31.75049142,1052.150296,118.5665983,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,0.878078346,0.820802735,0.939350648,0.118547914,14.51087648,80,674.8326264,75.4485813,0.924280811,0.060606201,91.18675864,29.86408391,821.3032106,99.23314632,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,1.004898532,0.939350648,1.075020347,0.135669699,13.73795067,52,383.2838173,53.15190217,0.941408845,0.062568817,56.97661362,21.68719362,464.1151481,66.25922345,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,1.150035262,1.075020347,1.230284717,0.15526437,12.99444518,45,289.828246,43.205044,0.903881351,0.066947237,43.02339297,16.1627677,363.6719446,55.76784276,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,1.316133979,1.230284717,1.407973802,0.177689085,12.26275853,38,213.8566929,34.69213665,0.921360054,0.072043233,27.35114547,12.70987761,259.4609402,43.68862737,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,1.506222207,1.407973802,1.611326385,0.203352584,11.58425371,25,122.9391805,24.5878361,0.842076492,0.100306593,18.73593111,10.47095453,164.731196,35.56208,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,1.723764733,1.611326385,1.844049028,0.232722642,10.94696866,20,85.9392098,19.21659151,0.850573484,0.097442654,10.35567478,6.229703621,111.3924593,26.13826353,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,1.97272676,1.844049028,2.110383624,0.266334596,10.41812821,11,41.30143115,12.45285004,0.881721679,0.093015196,5.10635876,4.52185166,51.94815945,15.63118097,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,2.257646184,2.110383624,2.415184724,0.304801099,9.975220428,6,19.68496837,8.036354684,0.863979566,0.128080864,3.346444622,3.563287405,26.13051167,10.51781113,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,2.583716302,2.415184724,2.764008014,0.34882329,9.526455562,6,17.20068634,7.022150793,0.836425435,0.132443659,2.236089224,2.48535203,22.80060773,9.341499204,0.556739431,0.051627536,8.078,8.101,8.207,
NGC_1039,4465,2.95688048,2.764008014,3.163211586,0.399203572,9.060327883,7,17.53491323,6.62757424,0.818872314,0.134174925,1.603192067,1.957099219,23.016681,9.035837843,0.556739431,0.051627536,8.078,8.101,8.207,
